epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3789,1.0091,0.79503,1.60968,1.06199,0.64333,0.64449,0.69741,0.42172,0.65997,0.64038,0.70401,0.48774,1.26505,0.70668,1.32107,0.98149,0.000475028,0.000475028,0.000475028
2,76.3292,1.01792,0.63908,1.01765,1.05046,0.78099,0.77033,0.84027,0.58252,0.78099,0.77033,0.83999,0.62646,1.06875,0.60477,1.18022,0.85487,0.000857177,0.000857177,0.000857177
3,112.888,0.92203,0.61104,0.88373,1.01163,0.78897,0.83112,0.85772,0.65547,0.77143,0.81545,0.83075,0.6407,0.87444,0.81378,0.78371,0.77304,0.00114501,0.00114501,0.00114501
4,149.488,0.7921,0.57448,0.76157,0.96303,0.9504,0.91779,0.96974,0.80081,0.9462,0.91326,0.96885,0.82347,0.74033,0.50558,0.64384,0.7323,0.00100459,0.00100459,0.00100459
5,186.183,0.69348,0.55189,0.66354,0.93856,0.93646,0.95885,0.97274,0.82902,0.9319,0.95433,0.97141,0.81235,0.68129,0.51911,0.52944,0.6982,0.000863116,0.000863116,0.000863116
6,224.38,0.62414,0.52857,0.5854,0.91757,0.95907,0.92739,0.9799,0.83945,0.95752,0.92588,0.97943,0.83321,0.59987,0.52325,0.48742,0.68671,0.000721645,0.000721645,0.000721645
7,262.781,0.55875,0.51323,0.52907,0.90172,0.95907,0.96525,0.9837,0.90054,0.95907,0.96525,0.98373,0.85898,0.47563,0.49459,0.42701,0.65282,0.000580174,0.000580174,0.000580174
8,301.12,0.50932,0.49452,0.48119,0.88622,0.95493,0.96982,0.98811,0.9157,0.95345,0.96831,0.9871,0.866,0.45006,0.51921,0.41245,0.64738,0.000438703,0.000438703,0.000438703
9,339.532,0.44999,0.4754,0.42397,0.87649,0.97352,0.96362,0.99076,0.93615,0.96981,0.95388,0.98787,0.87874,0.42326,0.45889,0.3569,0.64444,0.000297232,0.000297232,0.000297232
10,377.941,0.40907,0.46345,0.38903,0.87052,0.98331,0.96512,0.99295,0.93896,0.98115,0.94611,0.98384,0.86496,0.39418,0.43451,0.32802,0.64393,0.000155761,0.000155761,0.000155761
