epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.26049,1.35038,7.75913,1.26556,0.79325,0.675,0.80201,0.53035,1.16291,4.24944,1.09106,0.00048,0.00048,0.00048
2,8.08087,1.25302,1.2442,1.23567,0.33635,0.025,0.02504,0.01254,4.45508,13.2169,6.61322,0.000960596,0.000960596,0.000960596
3,11.7952,1.29825,1.02948,1.30969,0,0,0,0,nan,nan,nan,0.00142139,0.00142139,0.00142139
4,15.4505,1.30256,1.02647,1.29016,0.0259,0.075,0.00789,0.00381,3.63869,54.5736,8.48335,0.00186239,0.00186239,0.00186239
5,19.2299,1.32505,0.97103,1.33081,0.33031,0.475,0.3072,0.14435,2.21366,22.1707,4.13311,0.0018416,0.0018416,0.0018416
6,22.8978,1.32379,0.94629,1.30193,0.00181,0.175,0.001,0.0004,3.65709,489.086,39.4147,0.001802,0.001802,0.001802
7,26.5888,1.30243,0.91692,1.28081,0.74556,0.625,0.66076,0.46389,1.43846,2.24387,1.46831,0.0017624,0.0017624,0.0017624
8,30.2867,1.24029,0.87712,1.26502,0.89197,0.725,0.86107,0.55621,1.29858,2.20008,1.39973,0.0017228,0.0017228,0.0017228
9,34.072,1.20894,0.84382,1.25294,0.64531,0.7,0.76167,0.56002,1.23127,4.65094,1.2435,0.0016832,0.0016832,0.0016832
10,37.7575,1.16947,0.77103,1.2368,0.21822,0.45,0.34225,0.23465,1.17848,6.45006,1.32638,0.0016436,0.0016436,0.0016436
11,41.4344,1.09029,0.73005,1.18117,0.89894,0.88964,0.95775,0.74287,0.89986,0.88362,1.12555,0.001604,0.001604,0.001604
12,45.1403,1.0789,0.69184,1.18833,0.8612,0.9,0.92454,0.60959,1.13733,1.28809,1.21662,0.0015644,0.0015644,0.0015644
13,48.8772,1.13505,0.72342,1.21499,0.95192,0.8,0.93855,0.79023,0.77201,1.92413,1.03276,0.0015248,0.0015248,0.0015248
14,52.5579,1.07812,0.69518,1.18032,0.96742,0.925,0.92452,0.7505,0.88646,0.69823,1.12207,0.0014852,0.0014852,0.0014852
15,56.2175,1.0715,0.67348,1.1641,0.97162,0.925,0.98069,0.76294,0.892,0.53935,1.07701,0.0014456,0.0014456,0.0014456
